input	pass	first	second
random	1	dual_wide_clean	suspend_producer
random	2	suspend_producer	dual_wide_clean
random	3	dual_wide_clean	suspend_producer
random-signed8	1	suspend_producer	dual_wide_clean
random-signed8	2	dual_wide_clean	suspend_producer
random-signed8	3	suspend_producer	dual_wide_clean
random	4	suspend_producer	dual_wide_clean
random	5	dual_wide_clean	suspend_producer
random	6	suspend_producer	dual_wide_clean
random-signed8	4	dual_wide_clean	suspend_producer
random-signed8	5	suspend_producer	dual_wide_clean
random-signed8	6	dual_wide_clean	suspend_producer
